id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_9609206,9609206,Serviços de tatuagem e colocação de piercing,2016-07-01,,9609206
cnae_mei_9609207,9609207,Alojamento de animais domésticos,2016-07-01,,9609207
cnae_mei_9609208,9609208,Higiene e embelezamento de animais domésticos,2016-07-01,,9609208
cnae_mei_9609299,9609299,Outras atividades de serviços pessoais não especificadas anteriormente,2016-07-01,,9609299
cnae_mei_9700500,9700500,Serviços domésticos,2016-07-01,,9700500
cnae_mei_1091100,1091100,Fabricação de produtos de panificação,2016-07-01,,1091100
cnae_mei_1822900,1822900,Serviços de acabamentos gráficos,2016-07-01,,1822900
cnae_mei_2539000,2539000,"Serviços de usinagem, solda, tratamento e revestimento em metais",2016-07-01,,2539000
cnae_mei_8020000,8020000,Atividades de monitoramento de sistemas de segurança,2016-07-01,,8020000
cnae_mei_8690901,8690901,Atividades de práticas integrativas e complementares em saúde humana,2016-07-01,,8690901
cnae_mei_9609203,9609203,"Alojamento, higiene e embelezamento de animais",2016-07-01,,9609203
cnae_mei_4751200,4751200,Comércio varejista especializado de equipamentos e suprimentos de informática,2016-07-01,,4751200
cnae_mei_5812300,5812300,Edição de jornais,2016-07-01,,5812300
