id,codigo,nome,dt_inicio,dt_fim,nat_rubr,tp_rubr,cod_inc_cp,cod_inc_irrf,cod_inc_fgts,cod_inc_sind,rep_dsr,rep_13,rep_ferias,rep_resc,rep_afast,fator_rubr
rubr_pad_esocial5182,eSocial5182,Provisão de INSS - Férias,2014-01-01,2021-06-30,9201,2,0,43,0,0,N,N,N,N,N,
rubr_pad_esocial5182_263,eSocial5182,Provisão de INSS - Férias,2021-07-01,,9205,2,0,43,0,0,N,N,N,N,N,
rubr_pad_esocial5183,eSocial5183,Compensação de provisão de INSS no mês - Férias,2014-01-01,2016-08-31,1099,1,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5183_265,eSocial5183,Compensação de provisão de INSS no mês - Férias,2021-07-01,,1099,1,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5183_266,eSocial5183,Compensação de provisão de INSS no mês - Férias,2016-09-01,2021-06-30,1099,1,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5186,eSocial5186,INSS - SENAT (Descontado Transportador PF),2014-01-01,,9201,2,34,41,0,0,N,N,N,N,N,
rubr_pad_esocial5188,eSocial5188,INSS - SEST (Descontado Transportador PF),2014-01-01,,9201,2,35,41,0,0,N,N,N,N,N,
rubr_pad_esocial5190,eSocial5190,Imposto de renda retido na fonte - Mensal,2014-01-01,,9203,2,0,31,0,0,N,N,N,N,N,
rubr_pad_esocial5191,eSocial5191,Imposto de renda retido na fonte - Férias,2014-01-01,,9203,2,0,33,0,0,N,N,N,N,N,
rubr_pad_esocial5192,eSocial5192,Imposto de renda retido na fonte - 13° salário,2014-01-01,,9203,2,0,32,0,0,N,N,N,N,N,
rubr_pad_esocial5193,eSocial5193,Imposto de renda retido na fonte - PLR,2014-01-01,,9203,2,0,34,0,0,N,N,N,N,N,
rubr_pad_esocial5199,eSocial5199,Decisão judicial - Valor líquido de TRCT quitado,2014-01-01,2021-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5199_274,eSocial5199,Decisão judicial - Valor líquido de TRCT quitado,2021-07-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5200,eSocial5200,Apoio Financeiro MP 1230/2024,2024-06-01,2024-08-31,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5500,eSocial5500,Diferença de descontos indenizatórios,2014-01-01,2016-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5500_277,eSocial5500,Retroativo - Diferença de descontos indenizatórios,2016-07-01,2021-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5500_278,eSocial5500,Retroativo - Diferença de descontos indenizatórios,2021-07-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5550,eSocial5550,Devolução de remuneração mensal,2016-07-01,,9290,2,11,11,11,0,S,S,S,S,S,
rubr_pad_esocial5551,eSocial5551,Devolução de 13º salário - Ano corrente,2016-07-01,,9290,2,12,12,12,0,N,N,N,N,N,
rubr_pad_esocial5552,eSocial5552,Devolução de férias gozadas,2016-07-01,,9290,2,11,13,11,0,N,N,N,N,N,
rubr_pad_esocial5553,eSocial5553,Devolução de verbas indenizatórias,2016-07-01,2021-06-30,9299,2,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial5553_283,eSocial5553,Devolução de verbas indenizatórias,2021-07-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial5554,eSocial5554,Devolução de 13º salário - Anos anteriores,2016-07-01,,9290,2,12,12,12,0,N,N,N,N,N,
rubr_pad_esocial9500,eSocial9500,Dependente - Remuneração Mensal,2014-01-01,2021-06-30,9989,4,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial9500_286,eSocial9500,Dependente - Remuneração Mensal,2021-07-01,,9989,4,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial9501,eSocial9501,Dependente - 13° salário,2014-01-01,2021-06-30,9989,4,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial9501_288,eSocial9501,Dependente - 13° salário,2021-07-01,,9989,4,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial9502,eSocial9502,Dependente - Férias,2014-01-01,2021-06-30,9989,4,0,0,0,0,N,N,N,N,N,
rubr_pad_esocial9502_290,eSocial9502,Dependente - Férias,2021-07-01,,9989,4,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial9510,eSocial9510,PSO - Mensal,2014-01-01,,9989,4,0,41,0,0,N,N,N,N,N,
rubr_pad_esocial9511,eSocial9511,PSO - Férias,2014-01-01,,9989,4,0,43,0,0,N,N,N,N,N,
rubr_pad_esocial9600,eSocial9600,Base de Cálculo do FGTS - Parcelamento (MP 927/2020),2014-01-01,2020-12-31,9939,3,0,0,11,0,N,N,N,N,N,
rubr_pad_esocial9600_294,eSocial9600,Base de Cálculo do FGTS - Parcelamento (MP 1.046/2021),2021-04-01,2021-06-30,9939,3,0,0,11,0,N,N,N,N,N,
rubr_pad_esocial9600_295,eSocial9600,Base de Cálculo do FGTS - Parcelamento (MP 1.046/2021),2021-07-01,2021-12-31,9939,3,0,9,11,0,N,N,N,N,N,
rubr_pad_esocial9600_296,eSocial9600,Base de Cálculo do FGTS - Parcelamento (MTE 3.553/2023 e MTE 3.782/2023),2023-10-01,2024-02-29,9939,3,0,9,11,0,N,N,N,N,N,
rubr_pad_esocial9600_297,eSocial9600,Base de Cálculo do FGTS - Parcelamento (MTE 729/2024),2024-04-01,2024-07-31,9939,3,0,9,11,0,N,N,N,N,N,
rubr_pad_esocial9700,eSocial9700,Empréstimo eConsignado,2014-01-01,,9253,2,0,9,31,0,N,N,N,S,N,
rubr_pad_esocial9782,eSocial9782,Provisão de parcela de empréstimo eConsignado - Férias,2024-04-01,,9299,2,0,9,0,0,N,N,N,N,N,
rubr_pad_esocial9783,eSocial9783,Compensação de provisão de parcela de empréstimo eConsignado no mês - Férias,2024-04-01,,1099,1,0,9,0,0,N,N,N,N,N,
