id,processo,nr_inscricao,dt_inicio,dt_fim
proc_fap_1711070023580011,1711070023580011,60480746000171,2018-01-01,
proc_fap_1711070023581011,1711070023581011,70940994005170,2018-01-01,
proc_fap_1711070023582011,1711070023582011,08910541001483,2018-01-01,
proc_fap_1711070023583011,1711070023583011,65628950000100,2018-01-01,
proc_fap_1711070023589011,1711070023589011,59106666001577,2018-01-01,
proc_fap_1711080023590011,1711080023590011,03801629000200,2018-01-01,
proc_fap_1711080023591011,1711080023591011,01497282000147,2018-01-01,
proc_fap_1711080023592011,1711080023592011,29060647000190,2018-01-01,
proc_fap_1711080023593011,1711080023593011,13714612000198,2018-01-01,
proc_fap_1711080023594011,1711080023594011,02851704000101,2018-01-01,
proc_fap_1711080023596011,1711080023596011,02143616000813,2018-01-01,
proc_fap_1711080023598011,1711080023598011,59105999003959,2018-01-01,
proc_fap_1711020023599011,1711020023599011,33115726000129,2018-01-01,
proc_fap_1711060023600011,1711060023600011,05440065000171,2018-01-01,
proc_fap_1711080023601011,1711080023601011,76061480000162,2018-01-01,
proc_fap_1711080023602011,1711080023602011,19881671000137,2018-01-01,
proc_fap_1711080023603011,1711080023603011,10904181000134,2018-01-01,
proc_fap_1711080023604011,1711080023604011,07063925000120,2018-01-01,
proc_fap_1711080023605011,1711080023605011,90816133000123,2018-01-01,
proc_fap_1711010023607011,1711010023607011,05050395000150,2018-01-01,
proc_fap_1711080023608011,1711080023608011,08299507000108,2018-01-01,
proc_fap_1711080023610011,1711080023610011,21000468001047,2018-01-01,
proc_fap_1711080023613011,1711080023613011,06176436000112,2018-01-01,
proc_fap_1711080023614011,1711080023614011,59105999005650,2018-01-01,
proc_fap_1711080023617011,1711080023617011,59105999005730,2018-01-01,
proc_fap_1711080023618011,1711080023618011,61413282000143,2018-01-01,
proc_fap_1711080023619011,1711080023619011,61413282000739,2018-01-01,
proc_fap_1711080023620011,1711080023620011,02183510000177,2018-01-01,
proc_fap_1711080023621011,1711080023621011,61413282001620,2018-01-01,
proc_fap_1711080023622011,1711080023622011,61413282001972,2018-01-01,
proc_fap_1711080023623011,1711080023623011,61413282003088,2018-01-01,
proc_fap_1711080023625011,1711080023625011,33022203000138,2018-01-01,
proc_fap_1711080023626011,1711080023626011,76814284000111,2018-01-01,
proc_fap_1711080023595021,1711080023595021,08677372000169,2018-01-01,
proc_fap_1711080023627011,1711080023627011,28127603002626,2018-01-01,
proc_fap_1711010023628011,1711010023628011,04882084000195,2018-01-01,
proc_fap_1711080023624021,1711080023624021,46151130000126,2018-01-01,
proc_fap_1711080023629011,1711080023629011,92341312000187,2018-01-01,
proc_fap_1711080023630011,1711080023630011,12226693000114,2018-01-01,
proc_fap_1711080023631011,1711080023631011,00348003012399,2018-01-01,
proc_fap_1711080023632011,1711080023632011,95610887000146,2018-01-01,
proc_fap_1711070023634011,1711070023634011,10375387000114,2018-01-01,
proc_fap_1711080023636011,1711080023636011,88104328001332,2018-01-01,
proc_fap_1711080023637011,1711080023637011,88104328000107,2018-01-01,
proc_fap_1711080023639011,1711080023639011,04970016000188,2018-01-01,
proc_fap_1711010023640011,1711010023640011,02359209000171,2018-01-01,
proc_fap_1711010023643011,1711010023643011,17161936000873,2018-01-01,
